Tf,Target,lable
16,93,1
18,1100,0
2,368,0
23,329,1
4,721,0
19,933,0
29,861,0
12,991,0
18,12,0
28,1141,0
20,479,0
0,1077,0
30,261,1
32,214,0
1,805,0
17,684,0
13,1082,0
33,682,0
9,600,0
28,1106,0
7,931,0
30,148,1
32,470,0
29,216,1
30,314,0
28,276,0
24,585,0
11,408,0
20,657,1
1,1074,0
20,622,0
4,143,1
30,656,1
21,669,0
10,1253,0
33,1180,0
10,1256,0
29,1162,1
15,241,0
6,201,0
20,555,1
31,113,0
30,230,1
3,1125,0
5,882,0
30,726,0
17,240,0
17,225,0
11,1027,0
4,349,1
16,379,0
27,408,0
9,970,0
1,1111,0
1,497,0
2,311,0
1,626,0
20,914,1
6,839,0
1,574,0
25,749,0
1,1068,0
29,418,1
12,1033,0
13,582,0
33,238,0
22,50,0
28,1048,0
18,133,0
8,22,0
19,760,1
29,1042,0
19,145,1
1,789,0
0,698,0
31,592,0
17,222,0
13,881,0
1,854,0
2,437,0
6,451,0
8,1150,0
16,66,0
15,671,0
6,308,0
21,787,0
27,609,0
0,392,0
33,1065,0
19,341,1
6,47,0
0,53,0
5,647,1
23,1065,0
22,956,0
19,361,0
31,369,0
15,119,0
6,292,0
19,581,1
4,1232,0
11,366,0
28,69,0
31,302,0
11,198,0
15,871,0
19,1145,0
3,45,0
22,249,0
15,1176,0
6,984,0
30,1131,1
1,584,0
27,879,0
21,1164,0
11,1073,0
19,257,1
10,265,0
8,32,1
30,366,1
12,585,0
0,68,0
20,312,1
33,1000,0
23,1027,0
0,822,0
4,787,0
21,885,0
4,1049,0
4,550,0
18,518,0
27,472,0
18,254,0
8,220,1
21,266,0
17,626,0
30,506,1
5,550,1
20,879,0
11,1069,0
25,180,0
15,55,0
7,1123,0
25,834,0
27,239,1
5,1212,0
7,1251,0
2,261,0
11,857,0
11,994,0
0,473,0
33,232,0
12,407,0
11,447,0
20,404,1
7,1046,0
16,138,0
32,936,0
17,833,0
17,285,0
15,905,0
32,975,0
29,454,1
13,526,0
14,942,0
15,847,0
23,1179,0
13,1173,0
12,586,0
18,356,1
20,932,1
27,853,0
26,1027,0
33,217,0
5,453,0
33,866,0
6,254,0
12,727,0
5,1085,0
11,348,0
27,608,0
15,1124,0
5,200,1
28,72,0
30,816,1
18,304,1
25,29,0
14,181,1
23,104,0
25,864,0
33,898,0
30,798,0
30,1013,1
1,186,0
1,90,0
28,752,0
22,87,0
23,723,0
28,745,0
32,1135,0
3,880,0
12,1072,0
3,1105,0
21,1018,0
25,807,0
31,568,0
25,595,0
16,1245,0
5,885,0
8,361,1
11,1096,0
11,124,0
5,691,1
22,602,0
8,1010,0
26,27,0
31,802,0
6,274,0
31,135,0
33,742,0
22,1084,0
32,228,0
15,389,0
2,1139,0
5,535,1
12,931,0
22,1247,0
5,875,0
21,314,0
19,628,0
24,569,0
24,572,0
32,915,0
11,722,0
23,147,0
30,607,1
21,771,0
24,216,0
7,341,0
17,289,0
33,127,0
7,856,0
29,868,0
12,882,0
31,891,0
6,190,0
28,603,0
20,764,0
13,943,0
4,1117,0
1,699,0
27,138,0
14,275,1
15,0,0
18,754,0
33,214,0
20,474,0
4,6,0
12,1163,0
5,493,0
30,826,1
20,293,0
22,536,0
6,799,1
16,462,0
9,373,0
25,590,0
33,549,0
18,678,0
28,361,0
3,758,0
8,764,0
30,1161,1
23,122,0
26,150,1
24,490,0
0,354,0
31,1109,0
29,480,1
24,1190,0
30,1001,1
15,230,0
22,1148,0
21,909,0
6,373,0
31,591,0
10,585,0
1,111,0
32,806,0
32,590,0
13,362,0
25,392,0
8,148,0
0,1183,0
7,348,0
24,435,0
0,280,0
33,389,0
12,745,0
5,1059,0
21,1184,0
8,780,0
26,368,0
25,894,0
31,1142,0
31,950,0
1,620,0
23,932,1
5,942,0
1,978,0
28,1070,0
27,1145,0
20,579,0
7,320,1
12,1231,0
26,133,0
8,1183,0
4,470,1
3,273,0
7,904,0
25,691,0
7,1250,0
6,912,0
28,446,0
2,849,0
7,527,0
24,397,0
5,1165,0
30,135,1
2,894,0
13,1223,0
18,122,1
33,773,0
31,339,0
19,173,1
10,577,0
14,1252,1
18,962,0
15,1132,0
32,624,0
15,1115,0
1,630,0
1,157,0
17,1152,0
0,350,0
30,1113,1
9,372,0
8,749,1
0,228,0
6,405,0
13,709,0
27,706,0
18,772,0
30,361,1
31,704,0
6,677,1
1,1077,0
16,584,0
